cmpdname,isosmiles
YS-035 hydrochloride,CN(CCC1=CC(=C(C=C1)OC)OC)CCC2=CC(=C(C=C2)OC)OC.Cl
Lidocaine N-ethyl bromide,CC[N+](CC)(CC)CC(=O)NC1=C(C=CC=C1C)C.[Br-]
p-Iodoclonidine hydrochloride,C1CN=C(N1)NC2=C(C=C(C=C2Cl)I)Cl.Cl
Seretide,CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H](C3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF.C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O
Phenylacetic acid,C1=CC=C(C=C1)CC(=O)O
4-(2-Aminoethyl)-2-methoxyphenol,COC1=C(C=CC(=C1)CCN)O
Barbital,CCC1(C(=O)NC(=O)NC1=O)CC
Bromazepam,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3
Estazolam,C1C2=NN=CN2C3=C(C=C(C=C3)Cl)C(=N1)C4=CC=CC=C4
Iodipamide,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I
Meprobamate,CCCC(C)(COC(=O)N)COC(=O)N
Pholedrine,CC(CC1=CC=C(C=C1)O)NC
Psilocin,CN(C)CCC1=CNC2=C1C(=CC=C2)O
Secobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C
Dextroamphetamine sulfate,C[C@@H](CC1=CC=CC=C1)N.C[C@@H](CC1=CC=CC=C1)N.OS(=O)(=O)O
Amphetamine sulfate,CC(CC1=CC=CC=C1)N.CC(CC1=CC=CC=C1)N.OS(=O)(=O)O
"N,N-Dipropyltryptamine",CCCN(CCC)CCC1=CNC2=CC=CC=C21
Phencyclidine,C1CCC(CC1)(C2=CC=CC=C2)N3CCCCC3
"5-Methoxy-3,4-methylenedioxyamphetamine",CC(CC1=CC2=C(C(=C1)OC)OCO2)N
Iofetamine hydrochloride,CC(C)NC(C)CC1=CC=C(C=C1)I.Cl
Caffeine benzoate,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C=C1)C(=O)O
Fansidar,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl.COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N
Methamphetamine hydrochloride,C[C@@H](CC1=CC=CC=C1)NC.Cl
Tetrandrine,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC
Chloropyramine hydrochloride,CN(C)CCN(CC1=CC=C(C=C1)Cl)C2=CC=CC=N2.Cl
Tegafur-Uracil,C1CC(OC1)N2C=C(C(=O)NC2=O)F.C1=CNC(=O)NC1=O
Carbidopa and levodopa,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN.C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O
Hexestrol dipropionate,CCC(C1=CC=C(C=C1)OC(=O)CC)C(CC)C2=CC=C(C=C2)OC(=O)CC
Florfenicol,CS(=O)(=O)C1=CC=C(C=C1)[C@H]([C@@H](CF)NC(=O)C(Cl)Cl)O
Aggrenox,CC(=O)OC1=CC=CC=C1C(=O)O.C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO
"Dihydroergotoxine, raubasine drug combination",C[C@H]1[C@H]2CN3CCC4=C([C@@H]3C[C@@H]2C(=CO1)C(=O)OC)NC5=CC=CC=C45.CC(C)[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C
Cocaine,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC
Eicosapentaenoic acid,CC/C=C\\C/C=C\\C/C=C\\C/C=C\\C/C=C\\CCCC(=O)O
Methcathinone hydrochloride,CC(C(=O)C1=CC=CC=C1)NC.Cl
Diethylstilbestrol dipropionate,CC/C(=C(/CC)\\C1=CC=C(C=C1)OC(=O)CC)/C2=CC=C(C=C2)OC(=O)CC
"(1S,2R)-2-(Octylamino)-1-[4-(propan-2-ylthio)phenyl]-1-propanol",CCCCCCCCN[C@H](C)[C@H](C1=CC=C(C=C1)SC(C)C)O
Buprenorphine hydrochloride,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O.Cl
Negatol,C=O.C1=CC=C(C(=C1)CO)S(=O)(=O)O
"Dapsone, methyluracil drug combination",CC1=CC(=O)NC(=O)N1.CC1=CC(=O)NC(=O)N1.C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
"Ammonium, magnesium, manganese, sodium bicarbonate, zinc sulfate drug combination",C(=O)(O)[O-].[NH4+].[NH4+].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[O-]S(=O)(=O)[O-].[Na+].[Mg+2].[Mn+2]
Bupivacaine hydrochloride monohydrate,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C.O.Cl
Codeine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
Oxycodone hydrochloride,CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.Cl
Gaviscon,C(=O)(O)[O-].[OH-].[OH-].[OH-].[O-2].[Na+].[Mg+2].[Al+3].[Si]
"Avobenzone, ensulizole, enzacamene drug combination",CC1=CC=C(C=C1)/C=C\\2/C3CCC(C2=O)(C3(C)C)C.CC(C)(C)C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=C(C=C2)OC.C1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)S(=O)(=O)O
"Clemastine, dexamethasone drug combination",C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C.C[C@@](C1=CC=CC=C1)(C2=CC=C(C=C2)Cl)OCC[C@H]3CCCN3C.C(=C/C(=O)O)\\C(=O)O
"Brompheniramine, pseudoephedrine drug combination",C[C@H](C(C1=CC=CC=C1)O)N.CNC[C@@H](C1=CC(=CC=C1)O)O.CN(C)CCCC1=CC=CC=N1.C1=CC(=CC=C1OC(=O)/C=C/C(=O)O)Br.Cl.Cl
Artemether and lumefantrine,CCCCN(CCCC)CC(C1=CC(=CC\\2=C1C3=C(/C2=C/C4=CC=C(C=C4)Cl)C=C(C=C3)Cl)Cl)O.C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CCC(O3)(OO4)C)OC)C
"Sulfaethidole, sulfamethizole drug combination",CCC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N.CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N
Vytorin,CCC(C)(C)C(=O)O[C@H]1C[C@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)C.C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O
"Efavirenz, emtricitabine, and tenofovir disoproxil fumarate",C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C1CC1C#C[C@]2(C3=C(C=CC(=C3)Cl)NC(=O)O2)C(F)(F)F.C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F.C(=C/C(=O)O)\\C(=O)O
Lidocaine/prilocaine,CCCNC(C)C(=O)NC1=CC=CC=C1C.CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
Bunavail,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O.C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O
Amlodipine/valsartan,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O.CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
Combigan,CC(C)(C)NC[C@@H](COC1=NSN=C1N2CCOCC2)O.C1CN=C(N1)NC2=C(C3=NC=CN=C3C=C2)Br
Dexamethasone mixture with tobramycin,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C.C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N
Emtricitabine and tenofovir disoproxil fumarate,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F.C(=C/C(=O)O)\\C(=O)O
"Amlodipine, atorvastatin drug combination",CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN.CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.C1=CC=C(C=C1)S(=O)(=O)O.[Ca+2]
"Choline, dehydrocholic acid, magnesium orotate, orotic acid, Vitamin B12 drug combination",CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC\\4(C(C5C6(C(C(C(=N6)/C(=C\\7/C(C(C(=N7)/C=C\\8/C(C(C(=N8)/C(=C4\\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CCC(=O)C4)C)C.C[N+](C)(C)CCO.[C-]#N.C1=C(NC(=O)NC1=O)C(=O)[O-].C1=C(NC(=O)NC1=O)C(=O)[O-].C1=C(NC(=O)NC1=O)C(=O)[O-].[Mg+2].[Co+3]
Morphine sulfate,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.OS(=O)(=O)O
Imipenem and cilastatin,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.CC1(C[C@@H]1C(=O)N/C(=C\\CCCCSC[C@@H](C(=O)O)N)/C(=O)O)C
Epiduo,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5.C1=CC=C(C=C1)C(=O)OOC(=O)C2=CC=CC=C2
Tazocin,CCN1CCN(C(=O)C1=O)C(=O)N[C@H](C2=CC=CC=C2)C(=O)N[C@H]3[C@@H]4N(C3=O)[C@H](C(S4)(C)C)C(=O)[O-].C[C@@]1([C@@H](N2[C@H](S1(=O)=O)CC2=O)C(=O)O)CN3C=CN=N3.[Na+]
"Althiazide, canrenoate potassium, rescinnamine drug combination",C[C@]12CCC(=O)C=C1C=CC3C2CC[C@]4(C3CC[C@]4(CCC(=O)[O-])O)C.CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)/C=C/C6=CC(=C(C(=C6)OC)OC)OC.C=CCSCC1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl.[K+]
Combivent Respimat,CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O.OS(=O)(=O)O.[Br-]
Janumet XR,CN(C)C(=N)N=C(N)N.C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N.OP(=O)(O)O.Cl
"Acetic acid, calcium hydroxide (Ca(OH)2), calcium salt (2:1), mercapto-, strontium hydroxide (Sr(OH)2) drug combination",C(C(=O)[O-])S.C(C(=O)[O-])S.[OH-].[OH-].[OH-].[OH-].[Ca+2].[Ca+2].[Sr+2]
Stribild,C[C@H](CN1C=NC2=C(N=CN=C21)N)OCP(=O)(OCOC(=O)OC(C)C)OCOC(=O)OC(C)C.CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5.CC(C)[C@@H](CO)N1C=C(C(=O)C2=C1C=C(C(=C2)CC3=C(C(=CC=C3)Cl)F)OC)C(=O)O.C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F.C(=C/C(=O)O)\\C(=O)O
Analogue OF indinavir drug,C[C@H](C1=CC=CC=C1)[C@@H](C[C@H](CN2CCN(C[C@@H]2C(=O)NC(C)(C)C)CC3=CC4=C(C=C3)OCO4)O)C(=O)N[C@H]5[C@@H](CC6=CC=CC=C56)O
Budesonide and formoterol fumarate dihydrate,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5([C@H]4[C@H](C[C@@]3([C@@]2(O1)C(=O)CO)C)O)C.C[C@@H](CC1=CC=C(C=C1)OC)NC[C@H](C2=CC(=C(C=C2)O)NC=O)O
"Dexamethasone, neomycin, polymyxin B drug combination",CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@@H](C(C)O)C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@@H](NC1=O)CCN)CC2=CC=CC=C2)CC(C)C)CCN)CCN)[C@@H](C)O.C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C.C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N.OS(=O)(=O)O.OS(=O)(=O)O
"Dirithromycin, analytical standard, for drug analysis",CC[C@@H]1[C@@]([C@H]2[C@H]([C@H]([C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]3C[C@]([C@H]([C@@H](O3)C)O)(C)OC)C)O[C@H]4[C@@H]([C@H](C[C@H](O4)C)N(C)C)O)(C)O)C)N[C@H](O2)COCCOC)C)(C)O
Mometasone furoate and formoterol fumarate dihydrate,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C.C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O.C(=C/C(=O)O)\\C(=O)O.O.O
"Tamoxifen-13C2,15N solution, 98 atom % 15N, 99 atom % 13C, 1 mg/mL in methanol, drug standard",CC/C(=C(\\C1=CC=CC=C1)/C2=CC=C(C=C2)OCC[15N]([13CH3])[13CH3])/C3=CC=CC=C3
"Diethyltoluamide, ethanol, glycerin, terpineol, water drug combination",CCN(CC)C(=O)C1=CC=CC(=C1)C.CCO.CC1=CCC(CC1)C(C)(C)O.C(C(CO)O)O
PKG drug G1 sodium salt,CC1=C(C2=CC=CC=C2[N-]1)/C=C\\3/C(=O)NC(=S)N3.[Na+]
PKG drug G1,CC\\1=NC2=CC=CC=C2/C1=C/C3=C(NC(=S)N3)O
Four-drug fixed-dose combination,CC[C@@H](CO)NCCN[C@@H](CC)CO.C[C@H]1/C=C/C=C(\\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C.C1=CN=CC=C1C(=O)NN.C1=CN=C(C=N1)C(=O)N
"Norethindrone acetate, ethinyl estradiol, ferrous fumarate drug combination",C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@]2(C#C)O)CCC4=CC(=O)CC[C@H]34.C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@]2(C#C)O)CCC4=C3C=CC(=C4)O
Hydrochloric acid,Cl
Methanesulfonic acid,CS(=O)(=O)O
Sodium,[Na]
gamma-Aminobutyric acid,C(CC(=O)O)CN
Acetic acid,CC(=O)O
Acetylcholine,CC(=O)OCC[N+](C)(C)C
Ammonia,N
Quinacrine,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC
Trimethyl glycine,C[N+](C)(C)CC(=O)O
Hydrogen bromide,Br
Choline,C[N+](C)(C)CCO
Citric acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Aminocaproic acid,C(CCC(=O)O)CCN
2-Mercaptoethanesulfonic acid,C(CS(=O)(=O)O)S
Dopamine,C1=CC(=C(C=C1CCN)O)O
Histamine,C1=C(NC=N1)CCN
Rathyronine,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
Tartaric acid,C(C(C(=O)O)O)(C(=O)O)O
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
N-Acetyl-5-hydroxytryptamine,CC(=O)NCCC1=CNC2=C1C=C(C=C2)O
Nicotinic acid,C1=CC(=CN=C1)C(=O)O
Nitric acid,[N+](=O)(O)[O-]
Water,O
Oxalic acid,C(=O)(C(=O)O)O
Phosphoric acid,OP(=O)(O)O
Putrescine,C(CCN)CN
Pyrazinamide,C1=CN=C(C=N1)C(=O)N
