inhibitor_id,warhead,site,gene,smiles
CI001385,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1[C@@H](C)[C@@H](CCc1ccccc1)NC(=O)c1ccc2ccccc2c1
CI001386,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1[C@H](C)[C@@H](CCc1ccccc1)NC(=O)c1ccc2ccccc2c1
CI001387,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1[C@@H](C)[C@@H](CCc1ccccc1)NC(=O)[C@H](C)NC(=O)c1ccc2ccccc2c1
CI001388,Lactone ,THR-1,PSMB5,CC[C@H](C)[C@@H]1C(=O)O[C@H]1C(=O)N[C@H]1C[C@H]1[C@H](C)[C@@H](CCc1ccccc1)NC(=O)[C@H](C)NC(=O)c1ccc2ccccc2c1
CI001453,Lactone ,THR-1,PSMB9,C[C@@]12OC(=O)[C@@]1([C@@H](O)[C@@H]1C=CCCC1)NC(=O)[C@@H]2CCO
CI000991,Ester,SER-84,ampC,O=C(CC(=O)Oc1cccc(C(=O)O)c1)NCc1ccccc1
CI000992,Ester,SER-84,ampC,C[C@H](C(=O)NCc1ccccc1)C(=O)Oc1cccc(C(=O)O)c1
CI000993,Ester,SER-84,ampC,C[C@@H](C(=O)NCc1ccccc1)C(=O)Oc1cccc(C(=O)O)c1
CI000994,Ester,SER-84,ampC,O=C(O)c1cccc(OC(=O)C(Cc2ccccc2)C(=O)NCc2ccccc2)c1
CI000995,Ester,SER-84,ampC,CO[C@@H](C(=O)NCc1ccccc1)C(=O)Oc1cccc(C(=O)O)c1
CI000996,Ester,SER-84,ampC,CO[C@H](C(=O)NCc1ccccc1)C(=O)Oc1cccc(C(=O)O)c1
CI000997,Ester,SER-84,ampC,CN(Cc1ccccc1)C(=O)CC(=O)Oc1cccc(C(=O)O)c1
CI000998,Ester,SER-84,ampC,O=C(CC(=O)N(Cc1ccccc1)Cc1ccccc1)Oc1cccc(C(=O)O)c1
CI000999,Ester,SER-84,ampC,O=C(O)c1cccc(OC(=O)C2CCN(Cc3ccccc3)C2=O)c1
CI001000,Ester,SER-84,ampC,O=C(O)c1cccc(OC(=O)C2Cc3ccccc3N(Cc3ccccc3)C2=O)c1
CI000135,Oxime ester,SER-75,RBBP9,COc1ccc(C(=O)ON=C2C=C(C)C(=O)C(C)=C2)cc1
CI000138,Oxime ester,SER-75,RBBP9,COc1ccc(C(=O)ON=C2C(C)=CC(=O)C=C2C)cc1
CI000141,Oxime ester,SER-75,RBBP9,CC1=CC(=NOC(=O)/C=C/c2ccccc2)C=C(C)C1=O
CI000192,Oxime ester,SER-75,RBBP9,COc1ccc(C(=O)O/N=C(\C)c2nccs2)cc1
CI000193,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1ccc(Cl)cc1)c1nccs1
CI000198,Oxime ester,SER-75,RBBP9,COc1ccc(C(=O)O/N=C2/C=C(C)C(=O)C=C2C)cc1
CI000199,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1ccc(F)cc1)c1nccs1
CI000200,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1ccccc1)c1nccs1
CI000201,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)C1CCCCC1)c1nccs1
CI000206,Oxime ester,SER-75,RBBP9,CC(=O)O/N=C(\C)c1nccs1
CI000275,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1ccccc1F)c1nccs1
CI000276,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1cccc(C(F)(F)F)c1)c1nccs1
CI000277,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1c(-c2c(F)cccc2Cl)noc1C)c1nccs1
CI000278,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1c(-c2c(Cl)cccc2Cl)noc1C)c1nccs1
CI000279,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1c(-c2ccccc2Cl)noc1C)c1nccs1
CI000796,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1cccc(Cl)c1)c1nccs1
CI000802,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1ccc([N+](=O)[O-])cc1)c1nccs1
CI000803,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1ccc(I)cc1)c1nccs1
CI000804,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1ccc(-c2ccccc2)cc1)c1nccs1
CI000877,Oxime ester,SER-75,RBBP9,C#CCCC(=O)O/N=C(\C)c1nccs1
CI000878,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)N1CCCCC1)c1nccs1
CI000879,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)/C=C/c1ccccc1)c1nccs1
CI001054,Oxime ester,SER-75,RBBP9,C/C(=N\OC(=O)c1cc(F)ccc1F)c1nccs1
CI000079,Beta Lactam,SER-70,ampC,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CI004215,Michael Acceptor,SER-70,bla CMY-2,N#C/C(=C\c1cnc(N)nc1N)c1nc2ccccc2s1
CI004219,Michael Acceptor,SER-70,bla CMY-2,N#C/C(=C\c1cnc(Nc2ccc(Cl)cc2)nc1)c1nc2ccccc2[nH]1
CI000076,Beta Lactam,SER-67,ampC,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O
CI000182,Beta Lactam,SER-67,ampC,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
CI000289,Beta Lactam,SER-67,ampC,CC(=O)OC[C@@]1(C)[C@H](C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S1(=O)=O
CI000328,Beta Lactam,SER-67,ampC,C[C@]1(COC(=O)Cc2ccc(O)c(O)c2)[C@H](C(=O)O)N2C(=O)/C(=C/c3ccccn3)[C@H]2S1(=O)=O
CI000449,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc(NS(=O)(=O)c3ccccc3)cc2Br)N1
CI000450,Nitrile,SER-630,DPP4,CC(C)(C)c1ccccc1OC[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000451,Nitrile,SER-630,DPP4,COc1cc(C(=O)O)ccc1OC[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000453,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc(C(=O)O)cnc2Cl)N1
CI000455,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccccc2Cl)N1
CI000457,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc(C(=O)O)cc2Cl)N1
CI000458,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc(C(=O)O)c3ccccc23)N1
CI000460,Nitrile,SER-630,DPP4,Cc1ccccc1OC[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000461,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc(C(=O)O)cc2Br)N1
CI000464,Nitrile,SER-630,DPP4,CC(C)(C)c1cc(C(=O)O)ccc1OC[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000465,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc([N+](=O)[O-])c(Cl)cc2Cl)N1
CI000468,Nitrile,SER-630,DPP4,N#Cc1ccc(OC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3C#N)N2)c(Cl)c1
CI000469,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ncc(C(=O)O)cc2Cl)N1
CI000475,Nitrile,SER-630,DPP4,CC(C)c1cc(C(=O)O)ccc1OC[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000477,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cccnc2Cl)N1
CI000478,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc(C(=O)O)ccc2Cl)N1
CI000480,Nitrile,SER-630,DPP4,CS(=O)(=O)c1ccc(OC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3C#N)N2)c(Cl)c1
CI000482,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc(Cl)cc2Cl)N1
CI000483,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc(Cl)cc2C(=O)O)N1
CI000484,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc(C(=O)O)ccc2Br)N1
CI000485,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc(C(=O)O)c[n+]([O-])c2Cl)N1
CI000486,Nitrile,SER-630,DPP4,CS(=O)(=O)c1ccc(OC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3C#N)N2)c(Br)c1
CI000491,Nitrile,SER-630,DPP4,CC[C@@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000506,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](CNS(=O)(=O)c2ccccc2)N1
CI000511,Nitrile,SER-630,DPP4,C=C[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000517,Nitrile,SER-630,DPP4,C=C[C@@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000518,Nitrile,SER-630,DPP4,COc1ccc(OC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3C#N)N2)cc1
CI000521,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](C(=O)Nc2ccc(Br)cc2)N1
CI000523,Nitrile,SER-630,DPP4,N#Cc1ccc(OC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3C#N)N2)cc1
CI000525,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc(Br)cc2)N1
CI000527,Nitrile,SER-630,DPP4,CN(C[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1)c1ccccc1
CI000529,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@@H](COc2ccc(Br)cc2)N1
CI000541,Nitrile,SER-630,DPP4,COC(=O)c1ccc(NC(=O)NC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3C#N)N2)cc1
CI000546,Nitrile,SER-630,DPP4,CC(C)[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000547,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccccc2)N1
CI000558,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](C(=O)Nc2ccccc2)N1
CI000559,Nitrile,SER-630,DPP4,C[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000560,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](CNC(=O)c2ccccc2)N1
CI000571,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccccc2Cc2ccccc2)N1
CI000573,Nitrile,SER-630,DPP4,CC[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C#N)N1
CI000578,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](CO)N1
CI000579,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@@H](CO)N1
CI000583,Nitrile,SER-630,DPP4,Cc1ccc(OC[C@H]2CC[C@@H](C(=O)N3CCC[C@H]3C#N)N2)cc1
CI000606,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](CNc2ccccc2)N1
CI000611,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc(NC(=O)c3ccn[nH]3)ccc2Cl)N1
CI000613,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](CN2CCOCC2)N1
CI000617,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](CNC(=O)Nc2ccccc2)N1
CI000619,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](c2ccccc2)N1
CI000622,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc3c(c2)OCO3)N1
CI000623,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2c(Cl)cccc2Cl)N1
CI000627,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](CNc2ccc(Br)cc2)N1
CI000630,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COCc2ccccc2)N1
CI000871,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc(Br)c3c(c2)OCO3)N1
CI000872,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc3ccccc3c2)N1
CI000873,Nitrile,SER-630,DPP4,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2ccc3c(c2)CCCC3)N1
CI000073,Aldehydic carbonyl,SER-554,PREP,O=C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1
CI001055,Aldehydic carbonyl,SER-554,PREP,O=C[C@@H]1CCCCN1C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1
CI000196,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1
CI000267,Nitrile,SER-554,PREP,CC(C)(C)OC(=O)N1CCC[C@H]1C#N
CI000452,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)CCCc1ccccc1
CI000880,Nitrile,SER-554,PREP,C[C@@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C#N
CI000881,Nitrile,SER-554,PREP,N#C[C@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1
CI000882,Nitrile,SER-554,PREP,N#C[C@@H]1CS[C@H]2C[C@@H](NC(=O)OCc3ccccc3)C(=O)N21
CI000883,Nitrile,SER-554,PREP,N#C[C@H]1CS[C@@H]2C[C@H](NC(=O)OCc3ccccc3)C(=O)N12
CI000884,Nitrile,SER-554,PREP,N#CC1CCCCN1C(=O)CNC(=O)OCc1ccccc1
CI000885,Nitrile,SER-554,PREP,N#C[C@@H]1CS[C@H]2C[C@H](NC(=O)OCc3ccccc3)C(=O)N21
CI000886,Nitrile,SER-554,PREP,N#C[C@H]1CS[C@@H]2C[C@@H](NC(=O)OCc3ccccc3)C(=O)N12
CI000887,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)CNC(=O)OCc1ccccc1
CI000888,Nitrile,SER-554,PREP,C[C@H](NC(=O)OCc1ccccc1)C(=O)N1CCC[C@H]1C#N
CI001045,Nitrile,SER-554,PREP,N#C[C@@H]1CO[C@H]2C[C@H](NC(=O)OCc3ccccc3)C(=O)N21
CI001046,Nitrile,SER-554,PREP,N#C[C@@H]1CO[C@H]2C[C@@H](NC(=O)OCc3ccccc3)C(=O)N21
CI001047,Nitrile,SER-554,PREP,C[C@H]1O[C@H]2C[C@H](NC(=O)OCc3ccccc3)C(=O)N2[C@@H]1C#N
CI001048,Nitrile,SER-554,PREP,C[C@H]1O[C@H]2C[C@@H](NC(=O)OCc3ccccc3)C(=O)N2[C@@H]1C#N
CI001049,Nitrile,SER-554,PREP,N#CC1CCSC2CC(NC(=O)OCc3ccccc3)C(=O)N12
CI001050,Nitrile,SER-554,PREP,N#C[C@@H]1CS[C@H]2CC[C@H](NC(=O)OCc3ccccc3)CN21
CI001051,Nitrile,SER-554,PREP,N#C[C@@H]1CS[C@H]2CC[C@@H](NC(=O)OCc3ccccc3)CN21
CI001052,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)c1ccccc1
CI001262,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)c1cccc2c1C(=O)N(Cc1ccccc1)C2
CI001895,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC=C[C@H]2CN(OCc3ccccc3)C(=O)[C@@H]21
CI001896,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC=C[C@H]2CN(Cc3ccccc3)C(=O)[C@@H]21
CI001897,Nitrile,SER-554,PREP,C[C@H]1C=C[C@H]2CN(Cc3ccccc3)C(=O)[C@@H]2[C@@H]1C(=O)N1CCC[C@H]1C#N
CI001898,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@H]1CC=C[C@@H]2CN(NC(=O)OCc3ccccc3)C(=O)[C@H]21
CI001899,Nitrile,SER-554,PREP,N#C[C@@H]1CC=C[C@H]2CN(NC(=O)OCc3ccccc3)C(=O)[C@H]12
CI001906,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC=C[C@H]2CN(NC(=O)OCc3ccccc3)C(=O)[C@@H]21
CI001907,Nitrile,SER-554,PREP,C[C@H]1C=C[C@H]2CN(NC(=O)OCc3ccccc3)C(=O)[C@@H]2[C@@H]1C(=O)N1CCC[C@H]1C#N
CI001910,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@H]1CC=C[C@@H]2CN(NC(=O)Cc3ccccc3)C(=O)[C@H]21
CI001911,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC=C[C@H]2CN(NC(=O)Cc3ccccc3)C(=O)[C@@H]21
CI001916,Nitrile,SER-554,PREP,N#C[C@@H]1CCCN1C(=O)[C@H]1CC=C[C@@H]2CN(Cc3ccccc3)C(=O)[C@H]21
CI001917,Nitrile,SER-554,PREP,C[C@@H]1C=C[C@@H]2CN(Cc3ccccc3)C(=O)[C@H]2[C@H]1C(=O)N1CCC[C@H]1C#N
CI000002,Ester,SER-530,PTGS1,CCCCC#CCSc1ccccc1OC(C)=O
CI000003,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1C(=O)O
CI000103,Ester,SER-530,PTGS1,CSc1ccccc1OC(C)=O
CI000104,Ester,SER-530,PTGS1,CCCCCCCS(=O)(=O)c1ccccc1OC(C)=O
CI000282,Ester,SER-530,PTGS1,CCSc1ccccc1OC(C)=O
CI000283,Ester,SER-530,PTGS1,CCCSc1ccccc1OC(C)=O
CI000284,Ester,SER-530,PTGS1,CCCC#CCSc1ccccc1OC(C)=O
CI000285,Ester,SER-530,PTGS1,CCCC/C=C/CSc1ccccc1OC(C)=O
CI000291,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1SCc1ccccc1
CI000292,Ester,SER-530,PTGS1,CCCCCC#CCSc1ccccc1OC(C)=O
CI000294,Ester,SER-530,PTGS1,CCCCCSc1ccccc1OC(C)=O
CI000297,Ester,SER-530,PTGS1,CC(=O)OCCCCCSc1ccccc1OC(C)=O
CI000306,Ester,SER-530,PTGS1,CC#CCSc1ccccc1OC(C)=O
CI000307,Ester,SER-530,PTGS1,CCCCSc1ccccc1OC(C)=O
CI000308,Ester,SER-530,PTGS1,CCC#CCSc1ccccc1OC(C)=O
CI000309,Ester,SER-530,PTGS1,CCCCC#CCOc1ccccc1OC(C)=O
CI000310,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1SCCc1ccccc1
CI000311,Ester,SER-530,PTGS1,CCCCOCCSc1ccccc1OC(C)=O
CI000314,Ester,SER-530,PTGS1,CCCCC#CC(C)Sc1ccccc1OC(C)=O
CI000315,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1SCCCCCC(=O)O
CI000316,Ester,SER-530,PTGS1,C#CCSc1ccccc1OC(C)=O
CI000317,Ester,SER-530,PTGS1,CCCCCCC[Se]c1ccccc1OC(C)=O
CI000321,Ester,SER-530,PTGS1,CCCC#CCCSc1ccccc1OC(C)=O
CI000322,Ester,SER-530,PTGS1,CCCCCCCSc1ccccc1OC(C)=O
CI000323,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1SCCCCCCBr
CI000360,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1SCCCCCCI
CI000366,Ester,SER-530,PTGS1,CCCCCCSc1ccccc1OC(C)=O
CI000392,Ester,SER-530,PTGS1,CCCCCCCOc1ccccc1OC(C)=O
CI000395,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1SC1CCCCC1
CI000397,Ester,SER-530,PTGS1,CC(=O)Oc1ccccc1SCCCCC(=O)O
